,id,num_nodes,edge_list,lifetime,arrival_time,nodes_data,edges_data
20,20,7,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]",713.428685147751,43,"{'cpu': [7, 13, 24, 19, 18, 4, 26], 'ram': [29, 10, 10, 3, 14, 20, 18], 'rom': [14, 11, 29, 27, 10, 12, 5]}","{'bw': [22, 13, 4, 19, 27, 5]}"
21,21,12,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11)]",59.358135595397506,56,"{'cpu': [16, 17, 9, 10, 17, 28, 15, 7, 23, 20, 29, 2], 'ram': [29, 18, 27, 20, 12, 20, 21, 9, 21, 8, 2, 5], 'rom': [3, 11, 24, 13, 17, 4, 8, 10, 22, 3, 16, 18]}","{'bw': [17, 19, 27, 19, 13, 29, 27, 21, 12, 9, 23]}"
22,22,13,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12)]",322.4752495557338,42,"{'cpu': [26, 21, 24, 19, 17, 15, 9, 16, 7, 17, 17, 15, 12], 'ram': [17, 7, 7, 13, 20, 24, 10, 17, 24, 27, 21, 15, 24], 'rom': [18, 5, 28, 24, 16, 5, 2, 29, 20, 27, 14, 16, 22]}","{'bw': [28, 27, 16, 7, 23, 3, 11, 2, 14, 11, 20, 20]}"
23,23,8,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]",198.13584800021732,46,"{'cpu': [9, 4, 8, 5, 11, 24, 6, 28], 'ram': [7, 14, 6, 29, 4, 25, 14, 27], 'rom': [8, 21, 6, 19, 14, 3, 23, 11]}","{'bw': [26, 28, 23, 29, 22, 6, 29]}"
24,24,4,"[(0, 1), (1, 2), (2, 3)]",1100.223103460193,51,"{'cpu': [11, 27, 9, 9], 'ram': [15, 11, 22, 5], 'rom': [13, 6, 5, 22]}","{'bw': [22, 12, 22]}"
25,25,9,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8)]",412.97006703864554,45,"{'cpu': [14, 15, 14, 26, 15, 23, 6, 21, 11], 'ram': [26, 17, 21, 6, 20, 2, 5, 10, 14], 'rom': [4, 9, 14, 28, 19, 29, 9, 18, 9]}","{'bw': [28, 27, 21, 6, 4, 7, 6, 12]}"
26,26,7,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]",106.25884154792716,48,"{'cpu': [11, 13, 21, 9, 17, 16, 7], 'ram': [22, 27, 7, 12, 11, 9, 2], 'rom': [22, 19, 2, 22, 28, 13, 9]}","{'bw': [13, 24, 24, 4, 23, 11]}"
27,27,13,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12)]",528.3407331347929,41,"{'cpu': [3, 8, 3, 13, 25, 4, 2, 22, 10, 19, 29, 20, 10], 'ram': [15, 2, 16, 26, 2, 11, 17, 25, 17, 23, 29, 8, 28], 'rom': [24, 6, 17, 19, 21, 4, 9, 17, 12, 14, 11, 29, 24]}","{'bw': [3, 10, 26, 10, 7, 29, 22, 29, 7, 8, 12, 27]}"
28,28,3,"[(0, 1), (1, 2)]",242.56269645024506,51,"{'cpu': [27, 20, 11], 'ram': [9, 6, 28], 'rom': [3, 28, 16]}","{'bw': [23, 22]}"
29,29,12,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11)]",297.70625231777365,50,"{'cpu': [27, 23, 26, 16, 18, 11, 14, 5, 29, 27, 5, 8], 'ram': [29, 15, 26, 16, 21, 25, 12, 6, 4, 2, 6, 8], 'rom': [29, 6, 4, 12, 21, 12, 10, 18, 17, 11, 20, 29]}","{'bw': [2, 15, 20, 24, 9, 7, 27, 8, 16, 11, 5]}"
30,30,6,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",73.00829835371661,145,"{'cpu': [10, 8, 29, 17, 23, 23], 'ram': [25, 19, 20, 3, 8, 8], 'rom': [18, 5, 17, 3, 24, 22]}","{'bw': [18, 17, 4, 5, 16]}"
31,31,4,"[(0, 1), (1, 2), (2, 3)]",95.457505125618,158,"{'cpu': [22, 24, 14, 12], 'ram': [2, 17, 3, 9], 'rom': [19, 24, 8, 14]}","{'bw': [13, 14, 23]}"
32,32,14,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13)]",17.611691641369024,159,"{'cpu': [16, 22, 23, 21, 6, 26, 18, 6, 21, 24, 3, 28, 2, 22], 'ram': [9, 3, 20, 27, 24, 19, 11, 16, 2, 19, 5, 23, 18, 27], 'rom': [24, 13, 3, 24, 19, 7, 25, 9, 16, 10, 6, 29, 25, 16]}","{'bw': [3, 22, 13, 22, 4, 13, 5, 19, 15, 3, 26, 19, 15]}"
33,33,8,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]",157.39161100509003,139,"{'cpu': [25, 24, 20, 12, 29, 27, 2, 15], 'ram': [4, 13, 24, 7, 2, 17, 13, 11], 'rom': [3, 4, 13, 21, 16, 10, 4, 12]}","{'bw': [20, 22, 18, 10, 8, 3, 2]}"
34,34,2,"[(0, 1)]",159.19778314771366,155,"{'cpu': [3, 17], 'ram': [24, 20], 'rom': [4, 4]}",{'bw': [4]}
35,35,12,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11)]",915.8333783765848,154,"{'cpu': [3, 28, 27, 11, 27, 26, 19, 22, 2, 28, 9, 19], 'ram': [17, 20, 5, 15, 11, 12, 22, 7, 18, 25, 9, 7], 'rom': [18, 20, 19, 11, 3, 12, 18, 4, 19, 17, 14, 16]}","{'bw': [29, 9, 25, 26, 6, 19, 9, 14, 29, 17, 25]}"
36,36,2,"[(0, 1)]",906.7851279712305,141,"{'cpu': [9, 15], 'ram': [16, 9], 'rom': [26, 23]}",{'bw': [3]}
37,37,12,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11)]",177.61953747981087,157,"{'cpu': [18, 19, 4, 4, 24, 12, 21, 3, 16, 4, 22, 9], 'ram': [17, 3, 6, 8, 11, 22, 20, 29, 20, 18, 14, 3], 'rom': [24, 27, 9, 26, 14, 10, 19, 3, 13, 21, 20, 25]}","{'bw': [29, 8, 28, 26, 24, 21, 14, 12, 17, 19, 9]}"
38,38,8,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]",235.0595802021319,155,"{'cpu': [11, 25, 11, 6, 22, 23, 24, 28], 'ram': [14, 13, 25, 21, 2, 19, 22, 23], 'rom': [25, 12, 9, 19, 27, 11, 29, 10]}","{'bw': [21, 4, 13, 5, 25, 2, 8]}"
39,39,12,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11)]",51.30335281055565,137,"{'cpu': [8, 27, 9, 7, 8, 9, 27, 3, 7, 12, 5, 11], 'ram': [26, 9, 3, 13, 23, 8, 3, 23, 27, 9, 21, 18], 'rom': [17, 11, 24, 9, 9, 11, 16, 7, 18, 14, 7, 25]}","{'bw': [18, 27, 26, 18, 27, 22, 26, 15, 23, 15, 24]}"
40,40,4,"[(0, 1), (1, 2), (2, 3)]",563.1555502280539,153,"{'cpu': [3, 10, 20, 23], 'ram': [13, 23, 24, 22], 'rom': [24, 25, 4, 13]}","{'bw': [2, 28, 17]}"
41,41,7,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]",339.4345214912959,161,"{'cpu': [19, 24, 11, 24, 27, 22, 2], 'ram': [18, 20, 3, 17, 26, 17, 29], 'rom': [2, 16, 26, 3, 28, 10, 26]}","{'bw': [17, 3, 8, 23, 8, 28]}"
42,42,7,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]",365.971193122417,155,"{'cpu': [22, 29, 10, 9, 18, 7, 16], 'ram': [8, 24, 3, 29, 17, 4, 22], 'rom': [28, 26, 26, 9, 10, 11, 16]}","{'bw': [4, 22, 8, 20, 29, 10]}"
43,43,4,"[(0, 1), (1, 2), (2, 3)]",2812.0563939518565,158,"{'cpu': [7, 9, 20, 15], 'ram': [27, 17, 25, 8], 'rom': [14, 29, 7, 23]}","{'bw': [24, 2, 6]}"
44,44,7,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]",308.51326640955847,144,"{'cpu': [29, 24, 29, 17, 26, 9, 27], 'ram': [7, 25, 24, 3, 11, 4, 22], 'rom': [17, 23, 18, 11, 21, 26, 13]}","{'bw': [27, 11, 11, 27, 20, 5]}"
45,45,4,"[(0, 1), (1, 2), (2, 3)]",1297.142824038869,151,"{'cpu': [12, 29, 25, 16], 'ram': [28, 16, 3, 23], 'rom': [10, 9, 9, 16]}","{'bw': [2, 15, 13]}"
46,46,6,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",676.9941277489266,166,"{'cpu': [26, 17, 23, 24, 15, 4], 'ram': [16, 18, 5, 25, 18, 16], 'rom': [22, 7, 15, 11, 7, 28]}","{'bw': [8, 19, 25, 21, 5]}"
47,47,5,"[(0, 1), (1, 2), (2, 3), (3, 4)]",540.2011336937463,169,"{'cpu': [20, 5, 21, 2, 26], 'ram': [4, 20, 13, 7, 25], 'rom': [17, 3, 25, 11, 15]}","{'bw': [19, 2, 29, 23]}"
48,48,11,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10)]",376.98568133804,157,"{'cpu': [28, 3, 20, 8, 8, 21, 28, 23, 5, 26, 24], 'ram': [20, 23, 13, 4, 29, 18, 18, 4, 14, 23, 15], 'rom': [12, 14, 7, 10, 14, 4, 8, 10, 12, 23, 14]}","{'bw': [19, 24, 16, 17, 13, 12, 21, 21, 13, 20]}"
49,49,7,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]",1470.3398326295064,149,"{'cpu': [7, 2, 4, 6, 23, 16, 10], 'ram': [2, 5, 19, 23, 24, 7, 28], 'rom': [8, 18, 29, 3, 26, 8, 22]}","{'bw': [13, 20, 17, 10, 4, 2]}"
50,50,6,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",536.5369893141843,146,"{'cpu': [19, 21, 20, 14, 18, 12], 'ram': [18, 24, 29, 27, 29, 29], 'rom': [18, 19, 29, 16, 14, 16]}","{'bw': [17, 6, 17, 12, 12]}"
51,51,10,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9)]",112.02806011035888,165,"{'cpu': [13, 23, 10, 26, 9, 26, 21, 25, 16, 3], 'ram': [27, 9, 19, 25, 7, 15, 9, 3, 22, 13], 'rom': [21, 14, 19, 24, 6, 5, 16, 8, 26, 11]}","{'bw': [24, 21, 22, 6, 23, 16, 7, 13, 7]}"
52,52,8,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]",35.628609788083885,149,"{'cpu': [12, 22, 3, 25, 16, 24, 14, 15], 'ram': [21, 18, 15, 6, 4, 17, 23, 7], 'rom': [26, 6, 26, 7, 9, 7, 10, 26]}","{'bw': [14, 2, 15, 5, 22, 12, 26]}"
53,53,5,"[(0, 1), (1, 2), (2, 3), (3, 4)]",520.5358636555201,144,"{'cpu': [4, 18, 20, 18, 6], 'ram': [28, 13, 25, 14, 28], 'rom': [22, 13, 27, 3, 12]}","{'bw': [6, 29, 2, 7]}"
54,54,11,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10)]",103.14083341319059,168,"{'cpu': [14, 23, 14, 27, 14, 19, 13, 7, 2, 15, 13], 'ram': [3, 13, 10, 17, 29, 3, 17, 8, 8, 7, 11], 'rom': [10, 5, 5, 25, 19, 4, 11, 24, 24, 24, 7]}","{'bw': [3, 5, 28, 3, 9, 3, 13, 23, 7, 7]}"
55,55,9,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8)]",464.78166769653706,151,"{'cpu': [10, 25, 11, 25, 21, 9, 25, 12, 16], 'ram': [2, 22, 6, 9, 12, 17, 2, 10, 10], 'rom': [25, 17, 4, 15, 2, 9, 3, 10, 8]}","{'bw': [3, 13, 22, 24, 10, 13, 7, 3]}"
56,56,5,"[(0, 1), (1, 2), (2, 3), (3, 4)]",957.2383203317329,149,"{'cpu': [13, 11, 8, 12, 12], 'ram': [22, 2, 3, 12, 17], 'rom': [15, 20, 16, 29, 17]}","{'bw': [26, 14, 29, 17]}"
57,57,8,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]",352.57944811055205,142,"{'cpu': [10, 24, 24, 4, 26, 22, 18, 16], 'ram': [3, 8, 6, 4, 23, 24, 22, 20], 'rom': [26, 6, 6, 7, 7, 28, 14, 15]}","{'bw': [15, 12, 17, 20, 20, 10, 14]}"
58,58,2,"[(0, 1)]",55.89305677793772,145,"{'cpu': [6, 12], 'ram': [17, 28], 'rom': [4, 16]}",{'bw': [3]}
59,59,11,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10)]",231.25044698391443,152,"{'cpu': [6, 7, 4, 24, 21, 12, 3, 9, 5, 23, 12], 'ram': [24, 8, 18, 25, 21, 18, 29, 7, 8, 5, 22], 'rom': [22, 20, 5, 17, 19, 25, 8, 28, 16, 11, 28]}","{'bw': [24, 28, 29, 18, 29, 23, 23, 5, 25, 6]}"
60,60,14,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13)]",131.19747703196938,235,"{'cpu': [21, 11, 19, 12, 15, 8, 21, 17, 22, 26, 20, 21, 25, 22], 'ram': [10, 10, 5, 5, 6, 15, 25, 17, 11, 16, 5, 28, 28, 7], 'rom': [28, 29, 3, 26, 2, 7, 25, 7, 26, 17, 25, 13, 12, 20]}","{'bw': [20, 21, 12, 4, 5, 2, 28, 10, 3, 3, 27, 26, 5]}"
61,61,2,"[(0, 1)]",193.73500644600423,255,"{'cpu': [28, 17], 'ram': [22, 17], 'rom': [25, 16]}",{'bw': [14]}
62,62,5,"[(0, 1), (1, 2), (2, 3), (3, 4)]",1054.7260566733453,242,"{'cpu': [10, 25, 12, 29, 20], 'ram': [27, 5, 11, 29, 13], 'rom': [28, 14, 28, 8, 12]}","{'bw': [14, 12, 21, 6]}"
63,63,5,"[(0, 1), (1, 2), (2, 3), (3, 4)]",378.877237209061,243,"{'cpu': [16, 22, 8, 23, 7], 'ram': [4, 9, 16, 18, 15], 'rom': [15, 21, 10, 14, 6]}","{'bw': [20, 23, 6, 3]}"
64,64,7,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]",857.9477363400147,257,"{'cpu': [2, 15, 21, 3, 16, 6, 2], 'ram': [15, 6, 27, 19, 29, 8, 12], 'rom': [21, 9, 23, 22, 13, 20, 24]}","{'bw': [4, 14, 6, 23, 6, 18]}"
65,65,5,"[(0, 1), (1, 2), (2, 3), (3, 4)]",1179.8183140875121,251,"{'cpu': [16, 12, 5, 18, 18], 'ram': [4, 26, 3, 13, 17], 'rom': [7, 10, 28, 3, 12]}","{'bw': [23, 17, 18, 22]}"
66,66,8,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]",674.5763960868967,251,"{'cpu': [27, 28, 3, 17, 13, 5, 8, 6], 'ram': [27, 17, 7, 6, 29, 23, 29, 25], 'rom': [23, 4, 29, 27, 29, 18, 25, 16]}","{'bw': [9, 13, 12, 13, 15, 27, 13]}"
67,67,14,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13)]",422.52300875454256,263,"{'cpu': [2, 10, 20, 4, 5, 13, 26, 13, 2, 9, 19, 29, 20, 12], 'ram': [20, 10, 5, 28, 5, 3, 25, 18, 6, 26, 14, 28, 5, 29], 'rom': [4, 5, 27, 13, 25, 23, 12, 19, 2, 24, 7, 7, 3, 20]}","{'bw': [2, 21, 16, 26, 7, 24, 10, 27, 16, 12, 9, 22, 13]}"
68,68,13,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12)]",387.82439639747304,249,"{'cpu': [25, 9, 29, 22, 23, 29, 24, 24, 13, 13, 25, 22, 10], 'ram': [25, 3, 26, 23, 4, 4, 23, 17, 10, 23, 17, 4, 7], 'rom': [17, 11, 26, 12, 27, 12, 28, 26, 10, 12, 14, 18, 5]}","{'bw': [21, 13, 25, 3, 2, 2, 10, 27, 11, 7, 13, 10]}"
69,69,8,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]",385.0053554541797,243,"{'cpu': [2, 10, 13, 22, 14, 18, 15, 25], 'ram': [17, 3, 29, 20, 11, 7, 8, 21], 'rom': [9, 9, 16, 8, 13, 12, 9, 16]}","{'bw': [25, 9, 9, 14, 7, 20, 12]}"
70,70,5,"[(0, 1), (1, 2), (2, 3), (3, 4)]",938.8198049044286,250,"{'cpu': [20, 6, 29, 4, 20], 'ram': [20, 10, 28, 23, 6], 'rom': [8, 16, 20, 15, 7]}","{'bw': [20, 9, 7, 12]}"
71,71,3,"[(0, 1), (1, 2)]",1489.8230022416928,251,"{'cpu': [7, 11, 4], 'ram': [20, 19, 24], 'rom': [26, 26, 21]}","{'bw': [13, 18]}"
72,72,12,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11)]",496.77879386899696,246,"{'cpu': [7, 13, 27, 13, 10, 5, 6, 7, 29, 13, 27, 18], 'ram': [25, 22, 18, 20, 15, 8, 6, 19, 14, 23, 12, 23], 'rom': [19, 12, 17, 7, 26, 8, 8, 17, 18, 28, 5, 13]}","{'bw': [6, 15, 20, 25, 27, 24, 29, 17, 24, 4, 20]}"
73,73,4,"[(0, 1), (1, 2), (2, 3)]",83.19928959662064,246,"{'cpu': [10, 11, 3, 29], 'ram': [10, 24, 7, 29], 'rom': [28, 6, 23, 13]}","{'bw': [6, 3, 14]}"
74,74,9,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8)]",116.62128482067773,253,"{'cpu': [28, 9, 7, 2, 15, 18, 22, 11, 3], 'ram': [3, 18, 10, 20, 14, 16, 23, 8, 17], 'rom': [25, 2, 14, 4, 29, 28, 21, 17, 19]}","{'bw': [12, 5, 24, 17, 20, 24, 21, 13]}"
75,75,6,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]",918.2512148205338,256,"{'cpu': [17, 11, 16, 8, 18, 8], 'ram': [22, 26, 11, 10, 26, 10], 'rom': [5, 11, 22, 5, 3, 2]}","{'bw': [4, 10, 13, 18, 16]}"
